ENGLISH_NAME,KOREAN_NAME,IATA_CODE,ICAO_CODE
Grafton Airport,그래프턴 공항,GFN,YGFN
Griffith Airport,그리피스 공항,GFF,YGTH
Gunnedah Airport,구네다 공항,GUH,YGDH
Halls Creek Airport,홀스크릭 공항,HCQ,YHLC
Hamilton Airport,해밀턴 공항,HLT,YHML
Hamilton Island Airport,헤밀튼아일랜드 공항,HTI,YBHM
Hay Airport,헤이 공항,HXX,YHAY
Hervey Bay Airport,허비베이 공항,HVB,YHBA
HMAS Albatross,알바트로스 HMAS,NOA,YSNW
HMAS Creswell,크레스웰 HMAS,,YJBY
HMAS Stirling,스털링 HMAS,,YGAD
Hobart International Airport,호바트 국제공항,HBA,YMHB
Holsworthy Airfield,홀스워디 에어필드,,YSHW
Hopetoun Airport,호프턴 공항,HTU,YHPN
Horn Island Airport,혼아일랜드 공항,HID,YHID
Horsham Airport,호르샴 공항,HSM,YHSM
Hoxton Park Airport,혹스톤 파크 공항,,YHOX
Inverell Airport,인버렐 공항,IVR,YIVL
Jandakot Airport,잔다콧 공항,JAD,YPJT
Kalgoorlie-Boulder Airport,캘굴리 볼더 공항,KGI,YPKG
Kalkgurung Airport,칼카링기 공항,KFG,YKKG
Karratha Airport,카라타 공항,KTA,YPKA
Karumba Airport,카룸바 공항,KRB,YKMB
Kempsey Airport,켐지 공항,KPS,YKMP
Kerang Airport,케랑 공항,KRA,YKER
Kimba Airport,킴바 공항,,YIMB
King Island Airport,킹아일랜드 공항,KNS,YKII
Kingaroy Airport,킨가로이 공항,KGY,YKRY
Kingscote Airport,킹스코트 공항,KGC,YKSC
Kingsford Smith Airport (Sydney International),킹스포트 스미스 공항 (시드니 국제공항),SYD,YSSY
Kowanyama Airport,코와야마 공항,KWM,YKOW
Kununurra Airport,쿤누누라 공항,KNX,YPKU
Kyneton Airport,키네튼 공항,,YKTN
Latrobe Valley Airport,라트로브 벨리 공항,LTB,YLTV
Launceston Airport,론서스턴 공항,LST,YMLT
Lavarack Barracks,라버랙 배럭스 공항,,YLVK
Laverton Airport,라버튼 공항,LTO,YLTN
Learmonth Airport / RAAF Base Learmonth (joint use),리어먼스 공항,LEA,YPLM
Leigh Creek Airport,라이크릭 공항,LGH,YLEC
Leinster Airport,라인스터 공항,LER,YLST
Leongatha Airport,레온가타 공항,,YLEG
Leonora Airport,레오노라 공항,LNO,YLEO
Lethbridge Airpark,레스브릿지 공항,,YLED
Lightning Ridge Airport,라이트닝릿지 공항,LHG,YLRD
Lilydale Airport,릴리데일 공항,,YLIL
Lismore Airport,리스모어 공항,LSY,YLIS
Lockhart River Airport,락하트리버스 공항,IRG,YLHR
Longreach Airport,롱리치 공항,LRE,YLRE
Lord Howe Island Airport,로드호바아일랜드 공항,LDH,YLHI
Loxton Airport,록스톤 공항,,YLOX
Mackay Airport,매카이 공항,MKY,YBMK
Mallacoota Airport,말라쿠타 공항,XMC,YMCO
Mangalore Airport,망갈로르 /망가로르 공항,,YMNG
Maningrida Airport,마닝그리다 공항,MNG,YMGD
Mareeba Airport,마리바 공항,MRG,YMBA
Maroochydore Airport,마로카이도어 공항,MCY,YBSU
Maryborough Airport,메리보로 공항,MBH,YMYB
Maryborough Airport,메리보로 공항,,YMBU
Meekatharra Airport,미카다라 공항,MKR,YMEK
Merimbula Airport,메림불라 공항,MIM,YMER
Mildura Airport,밀두라 공항,MQL,YMIA
Moorabbin Airport,무라빈 공항,MBW,YMMB
Moranbah Airport,모란바 공항,MOV,YMRB
Moree Airport,모리 공항,MRZ,YMOR
Moruya Airport,모루야 공항,MYA,YMRY
Mount Gambier Airport,마운트겜비어 공항,MGB,YMTG
Mount Hotham Airport,마운트 핫탬 공항,MHU,YHOT
Mount Isa Airport,마운트이사 공항,ISA,YBMA
Mount Keith Airport,마운트 키스 공항,WME,YMNE
Mount Magnet Airport,마운트마그넷 공항,MMG,YMOG
Mudgee Airport,머지 공항,DGE,YMDG
Naracoorte Airport,나라쿠테 공항,,YNRC
Narrabri Airport,나라브리 공항,NAA,YNBR
Narrandera Airport,나란데라 공항,NRA,YNAR
Narromine Airport,나로민 공항,QRM,YNRM
Newman Airport,뉴먼 공항,ZNE,YNWN
Ngukurr Airport,음구쿠르 공항,RPM,YNGU
Nhill Airport,니힐 공항,,YNHL
Nhulunbuy Airport ( Gove ),누휼런바이 공항  ( 고브 ),GOV,YPGV
Norfolk Island Airport,노포크아일랜드 공항,NLK,YSNF
Normanton Airport,노먼턴 공항,NTN,YNTN
Nyngan Airport,닌간 공항,,YNYN
Oakey Airfield,오키 에어필드,,YBOK
Onslow Airport,온즐로 공항,,YOLW
Orbost Airport,오보스트 공항,RBS,YORB
Palm Island Airport,팜아일랜드 공항,PKM,YPAM
Paraburdoo Airport,파라버두 공항,PBO,YPBO
Parafield Airport,팰러필드 공항,PAL,YPPF
Parkes Airport,파크스 공항,PKE,YPKS
Perth International Airport,퍼스 국제공항,PER,YPPH
Port Augusta Airport,포트오거스타 공항,PUG,YPAG
Port Hedland International Airport,포트헤드랜드 국제공항,PHE,YPPD
Port Keats Airport,포트키츠 공항,PKT,YPKT
Port Lincoln Airport,포트링컨 공항,PLO,YPLC
Port Macquarie Airport,포트매콰리 공항,PQQ,YPMQ
Port Pirie Airport,포트피리 공항,PPI,YPIR
Portland Airport,포틀랜드 공항,PTJ,YPOD
Quilpie Airport,킬피에 공항,ULP,YQLP
RAAF Base Amberley,앰벌리 공항,,YAMB
RAAF Base East Sale,이스트 살레 에어베이스,SXE,YMES
RAAF Base Edinburgh,에딘버러 공군기지,,YPED
RAAF Base Gingin,진진 공군기지,,YGIG
RAAF Base Glenbrook (helipads only),글렌브룩 공군기지,,YGNB
RAAF Base Pearce,피어스 공군기지,,YPEA
RAAF Base Richmond,리치먼드 공군기지,RCM,YSRI
RAAF Base Scherger,셔거 공항,,YBSG
RAAF Base Tindal,틴덜 공군기지,KTR,YPTN
RAAF Williams,윌리암스 공군기지,,YMPC
RAAF Base Woomera,우메라 공군기지,UWR,YPWR
Raglan Airport,레글런 공항,BHS,YBTH
Redcliffe Airport,레드클리프 공항,RCL,YRED
Renmark Airport,렌마크 공항,RMK,YREN
Richmond Airport,리치먼드 공항,RCM,YRMD
Robinvale Airport,로빈베일 공항,RBC,YROI
Rockhampton Airport,록햄프턴 공항,ROK,YBRK
Roma Airport,로마 공항,RMA,YROM
Rottnest Island Airport,로트네스트아일랜드 공항,RTS,YRTI
Saint George Airport,세인트조지 공항,SGO,YSGE
Saint Helens Airport,세인트헬렌스 공항,HLS,YSTH
Shark Bay Airport,샤크 배이 공항,DNM,YSHK
Shepparton Airport,쉐파턴 공항,SHT,YSHT
Smithton Airport,스미스턴 공항,SIO,YSMI
Snake Bay Airport,스네이크 배이 공항,SNB,YSNB
Southport Airport,사우스포트 공항,SHQ,YSPT
Springhill Airport,스프링힐 공항,OAG,YORG
Stawell Airport,스타웰 공항,SWC,YSWL
Strahan Airport,스트라한 공항,SRN,YSRN
Streaky Bay Airport,스트리키베이 공항,,YKBY
Swan Hill Airport,스완힐 공항,SWH,YSWH
Tamworth Airport,탬워스 공항,TMW,YSTW
Taree Airport,타리 공항,TRO,YTRE
Taroom Airport,타룸 공항,XTO,YTAM
Temora Airport,테모라 공항,TEM,YTEM
Tennant Creek Airport,테넌트크릭 공항,TCA,YTNK
Thangool Airport,탄굴 공항,THG,YTNG
Thargomindah Airport,타르고민다 공항,XTG,YTGM
Tibooburra Airport,티부버라 공항,TYB,YTIB
Tocumwal Airport,토쿰왈 공항,TCW,YTOC
Toowoomba Airport,터움바 공항,TWB,YTWB
Torquay Airport,토케이 공항,,YTQY
Townsville International Airport,타운스빌 국제공항,TSV,YBTL
Tullamarine Airport ( Melbourne International ),툴라마린 공항  ( 멜버른 국제공항 ),MEL,YMML
Tumut Airport,투무트 공항,TUM,YTMU
Tyabb Airport,티압 공항,,YTYA
Waikerie Airport,워커리 공항,,YWKI
Walgett Airport,왈겟 공항,WGE,YWLG
Wangaratta Airport,왕가라타 공항,WGT,YWGT
Warracknabeal Airport,워랙나빌 공항,WKB,YWKB
Warren Airport,우렌 공항,QRR,YWRN
Warrnambool Airport,월냄불 공항,WMB,YWBL
Weipa Airport,웨이파 공항,WEI,YBWP
West Sale Airport,웨스트 세일 공항,,YWSL
West Wyalong Airport,웨스트 왈룽 공항,WWY,YWWL
Whitsunday Airport,휘쳔데이 에어스트립,WSY,YSHR
Whitsunday Coast Airport,휘천데이 코스트 공항,PPP,YBPN
Whyalla Airport,왈랴 공항,WYA,YWHA
Williamson Airfield,윌리암스 에어필드,,YWIS
Williamtown Airport,윌리암타운 공항,NTL,YWLM
Wilpena Pound Airport,윌피나 파운드 공항,HWK,YHAW
Wiluna Airport,윌루나 공항,WUN,YWLU
Windorah Airport,윈도라 공항,WNR,YWDH
Winton Airport,윈턴 공항,WIN,YWTN
Wollongong Airport,울릉공 공항,WOL,YWOL
Wudinna Airport,우디나 공항,WUD,YWUD
Wyndham Airport,윈덤 공항,,YWYM
Yarrawonga Airport,야라웡가 공항,,YYWG
Young Airport,영 공항,NGA,YYNG
Barwon Heads Airport,바원 헤즈 공항,,YBRS
Wilkins Runway,윌킨즈 런웨이,PRI,FSPP
Watts Bridge Memorial Airfield,와츠 브리지 미모리얼 에어필드,,YWSG
Yarram Airport,야람 공항,,YYRM
Ganja International Airport (Gyandzha),지안쟈 국제공항,KVD,UBBG
Heydar Aliyev International Airport,헤이다 알리예프 국제공항,BAK,UBBB
Nakhichevan Airport,나히체반 공항,NAJ,UBBN
Zabrat Airport,자브랏트 공항,ZXT,
Barisal Airport,바리살 공항,BZL,VGBR
Comilla Airport,코밀라 공항,CLA,VGCM
Cox's Bazar Airport,콕스즈바자르 공항,CXB,VGCB
Ishurdi Airport,이셔디 공항,IRD,VGIS
Jessore Airport,제소르 공항,JSR,VGJR
Shah Amanat International Airport (Patenga Airport) (formely M. A. Hannan International ),샤아마낫 국제공항 (파탠가 공항)  (구> M.A. 하난 국제공항 ),CGP,VGEG
Rajshahi Airport,라샤히 공항,RJH,VGRJ
Saidpur Airport,새드퍼 공항,SPD,VGSD
Shamshernagar Airport,샴세르나가 공항,ZHM,VGSH
Osmani International Airport (formely Sylhet Civil Airport),오스마니 국제공항 (구>실헷 시빌 공항),ZYL,VGSY
Thakuragaon Airport,타쿠르가온 공항,TKR,VGSG
Zia International Airport,지아 국제공항,DAC,VGHS
Paro Airport,파로 공항,PBH,VQPR
Thimbu Airport,팀부 공항,QJC,VQTU
Diego Garcia Tracking Station,디에고가르시아 트랙킹 스테이션,NKW,FJDG
Beef Island Airport,비프 아일랜드 공항,EIS,TUPJ
Virgin Gorda Airport,버진고르다 공항,VIJ,TUPW
Brunei International Airport,브루나이 국제공항,BWN,WBSB
Angkor International Airport,앙코르 국제공항,REP,VDSR
Battambang Airport,바탐방 공항,BBM,VDBG
Kompong Cham Airport,콤퐁참 공항,KZK,VDKC
Kompong Chnang Airport,콤퐁취낭 공항,KZC,VDKH
Kratie Airport,크라티에 공항,KTI,VDKT
Pochentong Airport,포켄통 공항,PNH,VDPP
Stung Treng Airport,스텅트렝 공항,TNX,VDST
Avarua Airport,아바루아 공항,AIT,NCAI
Enua Airport,에누아 공항,AIU,NCAT
Mangaia Airport,망가이아 공항,MGS,NCMG
Manihiki Island Airport,마니히키 아일랜드 공항,MHX,NCMH
Mauke Airport,마우케 공항,MUK,NCMK
Rarotonga International Airport,라로통가 국제공항,RAR,NCRG
Tongareva Airport,통가레바 공항,PYE,NCPY
Sunan International Airport ( Pyongyang International ),순안 국제공항  ( 평양국제공항 ),FNJ,ZKPY
Ba Airport,바 공항,BFJ,NFFA
Castaway Island Airport,케스트어웨이 아일랜드 공항,CST,NFCS
Cicia Airport,시시아 공항,ICI,NFCI
Dama Airport,다마 공항,BVF,NFNU
Koro Airport,코로 공항,KXF,NFNO
Lakemba Airport,라케바 공항,LKB,NFNK
Lambasa Airport,램버사 공항,LBS,NFNL
Levuka Airfield Airport,레부카 에어필드 공항,LEV,NFNB
Malolo Lailai Airport,말로로라이라이 공항,PTF,NFFO
Mana Island Airport,마나아일랜드 공항,MNF,NFMA
Moala Airport,모알라 공항,MFJ,NFMO
Nadi International Airport,나디 국제공항,NAN,NFFN
Nausori International Airport,나우조리 국제공항,SUV,NFNA
Rabi Airport,라비 공항,RBI,NFFR
Rotuma Island Airport,포투마 공항,RTA,NFNR
Savu Savu Airport (Utapao International ),사부사부 공항 (우타파우 국제공항),SVU,NFNS
Taveuni Island Airport,타베우니 아일랜드 공항,TVU,NFNM
Vanuabalavu Airport,배뉴발래부 공항,VBV,NFVB
Vatukoula Airport,바투쿨라 공항,VAU,NFNV
Vatulele Airport,바튤리 공항,VTF,NFVL
Wakaya Airport,와카야 공항,KAY,NFNW
Anaa Airport,아나 공항,AAA,NTGA
Apataki Airport,아파타키 공항,APK,NTGD
Arutua Airport,아루투아 공항,AXR,NTGU
Atuona Airport,아투오나 공항,HIX,NTMN
Faa'a International Airport,파아 공항,PPT,NTAA
Fakahina Airport,파카히나 공항,FHZ,NTKH
Fakarava Airport,파카라바 공항,FAV,NTGF
Fangatau Airport,팡가토 공항,FGU,NTGB
Fare Airport,파레 공항,HUH,NTTH
Hao Airport,하오 공항,HOI,NTTO
Hikueru Airport,히쿠에루 공항,HHZ,NTGH
Kaukura Airport,카우쿠라 공항,KKR,NTGK
Makemo Airport,마케모 공항,MKP,NTGM
Manihi Airport,머나이 공항,XMH,NTGI
Mataiva Airport,마타이바 공항,MVT,NTGV
Maupiti Airport,모피티 공항,MAU,NTTP
Motu-Mute Airport,모투 무테 공항,BOB,NTTB
Napuka Airport,나푸카 공항,NAU,NTGN
Nuku-Hiva Airport,누쿠 히바 공항,NHV,NTMD
Nukutavake Airport,누쿠타바크 공항,NUK,NTGW
Puka-Puka Airport,푸카푸카 공항,PKP,NTGP
Pukarua Airport,푸카루아 공항,PUK,NTGQ
Rangiroa Airport,랑지로아 공항,RGI,NTTG
Reao Island Airport,레아오 아일랜드 공항,REA,NTGE
Rurutu Airport,루루투 공항,RUR,NTAR
Raivavae Airport (Rairua Airport),라이바바에 공항 (라이루아 공항),RVV,
Takapoto Airport,타카포토 공항,TKP,NTGT
Takaroa Airport,타카로아 공항,TKX,NTKR
Tatakoto Airport,타타코토 공항,TKV,NTGO
Temae Airport,테마에 공항,MOZ,NTTM
Tetiaroa Airport,테티아로아 공항,TTI,NTTE
Tikehau Airport,타케하우 공항,TIH,NTGC
Totegegie Airport,톳트제리 공항,GMR,NTGJ
Tubuai Airport,투부아이 공항,TUB,NTAT
Ua Pou Airport,우아 파우 공항,UAP,NTMP
Ua-Huka Airport,우아 후카 공항,UAH,NTMU
Uturoa Airport,우투로아 공항,RFP,NTTR
Vahitahi Airport,버히타이 공항,VHZ,NTUV
Babusheri Airport,바부세리 공항,SUI,UGSS
Batumi Airport,바투미 공항,BUS,UGSB
Kopitnari Airport,코핏나리 공항,KUT,UGKO
Tbilisi International Airport (formerly Novo Alexeyevka Airport ( Lochini ) ),트빌리시 국제공항 (구>노보 알렉세이프카 공항  ( 로치니 ),TBS,UGTB
Antonio Borja Won Pat International Airport (A.B. Won Pat International),안토니오 보르냐 원 팟 국제공항,GUM,PGUM
Hong Kong International Airport ( Chek Lap Kok ),홍콩 국제공항  (첵랍콕 )  (첵랩콕 ),HKG,VHHH
Shek Kong Airfield,쉐콩 에어필드,,VHSK
Agatti Aerodrome,아가티 비행장,AGX,VOAT
Akola Airport,아콜라 공항,AKD,VAAK
Along Airport,알롱 공항,IXV,VEAN
Amausi Airport,아마우시 공항,LKO,VILK
Ambala Air Force Base,앰벨러 공군기지,,VIAM
Arakkonam Air Force Base,아락커넘 공군기지,,VOAR
Avantipur Air Force Base,아반티푸르 공군기지,,VI63
Bagdogra Airport / Bagdogra Air Force Base,바그도그라 공항,IXB,VEBD
Bajpe Airport,바즈페 공항,IXE,VOML
Bakshi Ka Talab Air Force Base,박시 카 탈랍 공군기지,,VIBL
Balurghat Airport,발루갓 공항,RGH,VEBG
Bamrauli Airport,밤라울리 공항,IXD,VIAL
Tuticorin Airport,투티코린 공항,TCR,VO80
Barrackpore Air Force Base,베럭포어 공군기지,,VEBR
Rajiv Gandhi International Airport (Hyderabad International Airport) (Begumpet Airport ),라지브간디 국제공항 (하이데라바드 국제공항 ) (베굼페 공항),HYD,VOHS
Behala Airport,베할라 공항,,VEBA
Bellary Airport,벨라리 공항,BEP,VOBI
Bhavnagar Airport,바브하가 공항,BHU,VABV
Bhisiana Air Force Base,비자냐 공군기지,BUP,VIBT
Raja Bhoj ( former Bhopa )( Bairagarh)),라자 보 공항 (구> 보팔) (배러거) 공항)),BHO,VABP
Bhuntar Airport,분타르 공항,KUU,VIBR
Bidar Air Force Station,바이다 공군기지,,VOBR
Biju Patnaik Airport (fomer Bhudaneswar),비주 타르나익 공항 (구> 부다네스와),BBI,VEBS
Bilaspur Airport,빌라스푸르 공항,PAB,VABI
Birsa Munda Airport (Ranchi Airport),버사 문다 ( 란치 ) 공항,IXR,VERC
Borjhar Airport,보리쟈 공항,GAU,VEGT
Calicut International Airport ( Karipur ),칼리컷 국제공항  ( 카리푸르 ),CCJ,VOCL
Car Nicobar Air Force Base,카니코바 공군기지,CBD,VOCX
Chabua Airport,츄부아 공항,DIB,VEMN
Chakeri Air Force Station,챠케리 공군기지,KNU,VICX
Chakulia Airport,쵸쿠리아 공항,,VECK
Chandigarh Airport / Chandigarh Air Force Base,찬디가르 공항,IXC,VICG
Charbatia Air Force Base,챠바티아 공군기지,,
Chennai International Airport,첸나이 국제공항,MAA,VOMM
Chhatrapati Shivaji International Airport,채해트라피티 시버지 국제공항,BOM,VABB
Chikkalthana Airport,티칼타나 공항,IXU,VAAU
Cochin International Airport (Kochi Int'l),코친 국제공항,COK,VOCI
Cooch Behar Airport,쿠치베하 공항,COH,VECO
Cuddapah Airport,쿠다파 공항,CDP,VOCP
Dabolim Airport,다보림 공항,GOI,VAGO
Daman Airport,담만 공항,NMB,VADN
Daparizo Airport,다파리조 공항,DAE,VADZ
Deparizo Airport,데파리조 공항,DEP,VEDZ
Devi Ahilyabai Holkar International Airport (former Indore),데비 아힐야바이 홀카 국제공항 (구>인도레),IDR,VAID
Dhanbad Airport,단바드 공항,DBD,VEDB
Dimapur Airport / Dimapur Air Force Base,디마푸르 공항,DMU,VEMR
Diu Airport,디우 공항,DIU,VA1P
Donakonda Airport,도나콘다 공항,,VODK
Dundigul Air Force Academy,둔디굴 공군기지,,VODG
Gaggal Airport,개갈 공항,DHM,VIGG
Gandhidham Airport (Kandla Airport),간디햄 (칸들라),IXY,VAKE
Gandhinagar Airport,간디나가르 공항,ISK,VANR
Gaya Airport,가야 공항,GAY,VEGY
Gorakhpur Air Force Base,고라크푸르 공군기지,GOP,VEGK
Govardhanpur Airport,고바르단푸르 공항,JGA,VAJM
Guna Airport,구나 공항,GUX,VAGN
Gwalior Airport / Maharajpur Air Force Base,관리오르 공항  (마해라즈퍼 공군기지),GWL,VIGR
Hakimpet Air Force Station,하킴펫 공군기지,,VOHK
Halwara Air Force Base,할워라 공군기지,,VIXH
Hashimara Air Force Base,해쉬마라 공군기지,,VEHX
Hindon Air Force Base,힌둔 공군기지,,VIDX
HAL Bangalore International Airport (Hindustan Airport),할 방갈로르 국제공항 (힌두스탄 공항),,VOBG
Hirakud Airport,히라쿠드 공항,,VEHK
Hissar Airport,히사르 공항,HSS,VIHR
Hubli Airport / Hubli Air Force Base,후블리,HBX,VOHB
Imphal Municipal Airport,임팔 시공항,IMF,VEIM
Indira Gandhi International Airport,인디라 간디 국제공항,DEL,VIDP
Jabalpur Airport,자발푸르 공항,JLR,VAJB
Jagdalpur Airport,자그달푸르 공항,JGB,VE46
Jaisalmer Airport,자이살머 공항,JSA,VIJR
Jeypore Airport,제이포르 공항,PYB,VEJP
Jhansi Airport,잔시 공항,,VIJN
Jharsuguda Airport,쟈수구다 공항,,VEJH
Jodhpur Airport / Jodhpur Air Force Base,조드푸르 공항,JDH,VIJO
Jolly Grant Airport,졸리 그란트 공항,DED,VIDN
Juhu Airport,주주 공항,,VAJJ
Junagadh Airport (Keshod Airport),저너가더 ( 케쇼드 ) 공항,IXK,VAKS
Kailashahar Airport,카일라샤하 공항,IXH,VEKR
Kalaikunda Air Force Base,칼라이쿤다 공군기지,,VEDX
Kamalpur Airport,카말푸르 공항,IXQ,VEKM
Kanpur Airport,칸푸르 공항,KNU,VICX
Kargil Airport,카르길 공항,,VI65
Khajuraho Airport,카주라호 공항,HJR,VAKJ
Khandwa Airport,칸드와 공항,,VADK
Kheria Airport (Avon Park),케리아 공항 (애본 파크),AGR,VIAG
Khowai Airport,코와이 공항,IXN,VEKW
Kolhapur Airport,콜하푸르 공항,KLH,VAKP
Kota Airport,코타 공항,KTU,VIKO
Kumbhirgram Airport,쿰비히그람 공항,IXS,VEKU
Leh Air Force Base,레 공군기지,IXL,VILH
Lilabari Airport,릴라바리 공항,IXI,VELR
Lohegaon Airport,로헤가온 공항,PNQ,VAPO
Lok Nayak Jaya Prakash Narayan Airport (Patna Airport),록 나약 자야 프라카쉬 나라얀 공항 (파트나 공항),PAT,VEPT
Madurai Airport,마두라이 공항,IXM,VOMD
Malda Airport,말다 공항,LDA,VEMH
Mohanbari Airport,모한바리 공항,DIB,VEMN
Muzzafarpur Airport,무자파르푸르 공항,MZU,VEMZ
